REF_ID,IN_TIME,VALIDITY,CON_NUM,CON_SIZE,STATUS,OUT_TIME
EFS31075,12-11-2022 01:29,15-11-2022 01:29,QSNE0761953,40,E,07-02-2023 01:23
EFS31294,22-11-2022 13:40,25-11-2022 13:40,OFXS8497438,40,E,02-02-2023 19:33
EFS31695,04-12-2022 17:13,07-12-2022 17:13,DRVO4626646,20,E,10-02-2023 05:09
EFS31708,05-12-2022 16:08,08-12-2022 16:08,AYVO2980897,20,E,28-02-2023 08:22
EFS31708,05-12-2022 16:08,08-12-2022 16:08,JJRB9424765,20,E,17-04-2023 17:23
EFS31708,05-12-2022 16:08,08-12-2022 16:08,FHYM4955027,20,E, 
EFS31708,05-12-2022 16:08,08-12-2022 16:08,FMCI9681980,20,E,19-04-2023 01:16
EFS31708,05-12-2022 16:08,08-12-2022 16:08,JLBL7272687,20,E,28-04-2023 17:24
EFS31875,11-12-2022 23:20,14-12-2022 23:20,GTBR2975100,20,E,10-02-2023 22:01
EFS32155,19-12-2022 19:44,22-12-2022 19:44,XEWY1281673,40,E,21-03-2023 00:40
EFS32267,23-12-2022 09:12,26-12-2022 09:12,MUGM7097804,20,E,06-02-2023 02:53
EXP11625-121058,30-12-2022 14:44,30-12-2022 14:44,SUQD3441303,40,L,13-02-2023 13:14
EXP11625-121058,30-12-2022 14:44,30-12-2022 14:44,ASZN7072275,40,L,13-02-2023 13:16
EFS16112-121398-383569,26-12-2022 01:52,29-12-2022 01:52,IVGZ1307148,20,L,13-02-2023 13:16
EFS32687,05-01-2023 16:14,08-01-2023 16:14,YKDJ3263462,40,E,11-02-2023 01:11
EFS32681,05-01-2023 14:25,08-01-2023 14:25,SGOZ9601524,40,E,11-02-2023 11:04
EFS32681,05-01-2023 14:25,08-01-2023 14:25,EJSB1973061,40,E,11-02-2023 00:23
IGOJO03235,19-01-2023 16:24,22-01-2023 16:24,XSDD6903189,40,L,02-02-2023 13:35
IGOJO03235,19-01-2023 16:24,22-01-2023 16:24,FODY4182428,40,L,02-02-2023 13:36
IGOJO03235,19-01-2023 16:24,22-01-2023 16:24,ZFCD6538569,40,L,02-02-2023 13:36
IGOJO03235,19-01-2023 16:24,22-01-2023 16:24,ZSBA6162814,40,L,02-02-2023 13:36
IGOJO03235,19-01-2023 16:24,22-01-2023 16:24,HQAW3384376,40,L,02-02-2023 13:35
IGOJO03235,19-01-2023 16:24,22-01-2023 16:24,HDWW7890572,40,L,02-02-2023 13:35
IGOJO03235,19-01-2023 16:24,22-01-2023 16:24,CUDY6584489,40,L,02-02-2023 13:28
IGOJO03235,19-01-2023 16:24,22-01-2023 16:24,UCIH2198237,40,L,02-02-2023 13:34
EFS33163,19-01-2023 16:48,22-01-2023 16:48,GQRQ3986457,20,E,09-02-2023 01:57
EFS33163,19-01-2023 16:48,22-01-2023 16:48,NNTD7295128,20,E,06-02-2023 14:33
EFS33163,19-01-2023 16:48,22-01-2023 16:48,ZFUV4794968,20,E,13-02-2023 08:32
EFS33163,19-01-2023 16:48,22-01-2023 16:48,IOXU1658236,20,E,13-02-2023 08:32
EFS33163,19-01-2023 16:48,22-01-2023 16:48,IKEE6360781,20,E,02-02-2023 00:41
EFS33163,19-01-2023 16:48,22-01-2023 16:48,OXVM6890084,20,E,06-02-2023 14:31
EFS33268,22-01-2023 19:43,25-01-2023 19:43,IFLA5118450,20,E,12-03-2023 01:07
EFS33268,22-01-2023 19:43,25-01-2023 19:43,PGMH2755386,20,E,11-03-2023 23:27
EFS32969,14-01-2023 02:43,17-01-2023 02:43,FCXB8755383,20,E,12-02-2023 12:33
EFS32975,14-01-2023 07:22,17-01-2023 07:22,PFTS8539096,20,E,10-02-2023 21:20
EFS33203,20-01-2023 15:24,23-01-2023 15:24,VCMN8621865,40,E,05-02-2023 22:08
EFS32998,14-01-2023 19:46,17-01-2023 19:46,VCMQ8574159,40,E,07-04-2023 08:17
EFS33298,23-01-2023 19:25,26-01-2023 19:25,RSUB1980829,20,E,08-02-2023 10:05
EFS33164,19-01-2023 16:51,22-01-2023 16:51,KRPA2445155,20,E,01-02-2023 23:03
EFS33164,19-01-2023 16:51,22-01-2023 16:51,YURG5606412,20,E,03-02-2023 01:07
EFS33648,01-02-2023 20:05,04-02-2023 20:05,XSMA7076006,40,E,02-02-2023 04:55
EFS33648,01-02-2023 20:05,04-02-2023 20:05,NNPO9403165,40,E,02-02-2023 03:20
EFS33648,01-02-2023 20:05,04-02-2023 20:05,EJEK1288417,40,E,03-02-2023 05:28
EFS16751-228639-414880,31-01-2023 00:36,03-02-2023 00:36,SDFT9817756,40,L,06-02-2023 22:59
MTZEFS16816,02-02-2023 15:57,05-02-2023 15:57,LHNG8496952,40,E,02-02-2023 14:29
IGOJO13875,02-02-2023 15:57,05-02-2023 15:57,EEOG5871908,40,L,02-02-2023 22:05
IGOJO13878,02-02-2023 16:13,05-02-2023 16:13,NYTE3846547,40,L,04-02-2023 06:26
IGOJO13878,02-02-2023 16:13,05-02-2023 16:13,WAXU1988334,40,L,04-02-2023 07:20
IGOJO13878,02-02-2023 16:13,05-02-2023 16:13,EPNT6456561,40,L,02-02-2023 20:48
IGOJO13878,02-02-2023 16:13,05-02-2023 16:13,FAEE2029090,40,L,03-02-2023 05:48
IGOJO13878,02-02-2023 16:13,05-02-2023 16:13,FMRH9236800,40,L,03-02-2023 12:56
IGOJO13878,02-02-2023 16:13,05-02-2023 16:13,EVMY7215884,40,L,03-02-2023 15:49
IGOJO13878,02-02-2023 16:13,05-02-2023 16:13,KVOA8616152,40,L,03-02-2023 05:20
IGOJO13878,02-02-2023 16:13,05-02-2023 16:13,INDG7310285,40,L,03-02-2023 07:38
IGOJO13878,02-02-2023 16:13,05-02-2023 16:13,JIWJ6627738,40,L,02-02-2023 21:01
IGOJO13878,02-02-2023 16:13,05-02-2023 16:13,ZLAT8293815,40,L,03-02-2023 04:40
EFS33695,02-02-2023 23:34,05-02-2023 23:34,UIUU6811228,20,E,03-02-2023 01:07
EXP34256-123758,06-02-2023 16:39,06-02-2023 16:39,BERQ4373353,20,L,08-02-2023 10:37
IGOJO13825,31-01-2023 18:43,03-02-2023 18:43,IBFX3589127,20,L,01-02-2023 23:08
IGOJO13827,31-01-2023 18:53,03-02-2023 18:53,KYVA2654941,40,L,03-02-2023 07:37
