CON_NUM,CON_SIZE,STATUS,Assigned Location
SPRE0057868,20,L,A01A1
ANKJ1447873,20,L,A01A2
ACLU3053768,20,L,A01A3
UPDU1678037,20,E,A01A4
FZPU2318420,20,E,A01A5
EFYD6689495,20,E,A01A6
SHYS7657100,20,E,A01A7
ECHT3406160,20,E,A01A8
MPQD4457059,20,E,A01A9
EMVG7004395,20,E,A01B1
RNFL4704213,20,E,A01B2
KASH0692064,20,E,A01B3
CGHU4430259,20,E,A01B4
ZLXU8292183,20,E,A01B5
SDYU6422343,20,E,A01B6
EINJ6527750,20,E,A01B7
INOE3879979,20,E,A01B8
KOLX9140559,20,E,A01B9
WQHH9597517,20,E,A01C1
ZHXH0287646,20,E,A01C2
EPGG1844361,20,E,A01C3
NOBM6093496,20,L,A01C4
JKSB5893535,20,L,A01C5
XGZW9420196,20,E,A01C6
AQNO4611152,20,E,A01C7
EUTC4956630,20,L,A01C8
UXSS7468843,20,L,A01C9
DQND2045116,20,L,A01D1
DGKT5256545,20,E,A01D2
QXPC8081666,20,E,A01D3
TKCI8732880,20,E,A01D4
TZOO0108476,20,E,A01D5
YLHV0651304,20,E,A01D6
NUSR2822571,20,E,A01D7
QMRA5638049,20,E,A01D8
YKHP2630029,20,E,A01D9
JKTA6878904,20,E,A01E1
LUOT7569694,20,E,A01E2
IOMN7928261,20,E,A01E3
CXXH7531489,20,E,A01E4
YOLQ8251652,20,E,A01E5
OVCP5695696,20,E,A01E6
IBDY4717295,20,E,A01E7
CGHU0151824,20,E,A01E8
UMXS2905123,20,E,A01E9
JODX8439967,20,E,A01F1
UWLW8206782,20,E,A01F2
HDFC8226868,20,E,A01F3
QDKT8813569,20,E,A01F4
DPSU9157776,20,E,A01F5
YMUH5752363,20,E,A01F6
UWUK3309577,20,E,A01F7
JTKL7850892,20,E,A01F8
TCCC4925716,20,E,A01F9
XTZU0416248,20,E,A02A1
GIIL9293250,20,E,A02A2
FNRH7502812,20,E,A02A3
BVVT7274866,20,E,A02A4
VIHR0883326,20,E,A02A5
DEFH6526199,20,E,A02A6
XERG9251948,20,E,A02A7
XWYU6427674,20,E,A02A8
MJVY1278375,20,E,A02A9
OWMD9298128,20,E,A02B1
FCOI3850741,20,E,A02B2
JGLB2304098,20,E,A02B3
LPTV5029065,20,E,A02B4
UCBV1312076,20,E,A02B5
OFNC3177311,20,E,A02B6
EIRZ8888854,20,E,A02B7
HIQS7090938,20,E,A02B8
XAIX8902266,20,E,A02B9
WKBW4986630,20,E,A02C1
YEOL6580018,20,E,A02C2
VADV9205063,20,E,A02C3
JDSY6323301,20,E,A02C4
AVCD1898388,20,E,A02C5
GANP2813890,20,E,A02C6
UIPS9595222,20,E,A02C7
ISZS7216520,20,E,A02C8
YQBR9421410,20,E,A02C9
LYSX6170054,20,E,A02D1
GMJY0734184,20,E,A02D2
LUEU8002070,20,E,A02D3
XVWG8568291,20,E,A02D4
NGZH1213603,20,E,A02D5
NOYC0862478,20,E,A02D6
EYNE8646774,20,E,A02D7
JSOV5440485,20,E,A02D8
IQPG3351348,20,E,A02D9
BMLC1813751,20,E,A02E1
LMFP7609629,20,E,A02E2
TJMZ5079427,20,E,A02E3
XUAJ0393148,20,E,A02E4
ZAQU0401791,20,E,A02E5
MUTE9191527,20,E,A02E6
PAAA2120707,20,E,A02E7
GLJZ2700800,20,E,A02E8
XTAT3917607,20,E,A02E9
BJBD3084383,20,E,A02F1
IFXV6094144,20,E,A02F2
QUIF0030777,20,E,A02F3
OFHL0986546,20,E,A02F4
KFKF6772010,20,E,A02F5
IQFA8271418,20,L,A02F6
XOXT2212489,20,L,A02F7
FJOU3202128,20,L,A02F8
DCCL6763729,20,L,A02F9
FXXH0786966,20,L,A03A1
UTMP0591661,20,L,A03A2
RJEH3496104,20,L,A03A3
RCML6983849,20,L,A03A4
UGRO1185021,20,L,A03A5
OMFJ6282707,20,L,A03A6
GXBC4321700,20,L,A03A7
OZHV2604797,20,L,A03A8
CFGX7979987,20,L,A03A9
GJUI5487998,20,L,A03B1
LCKL5716892,20,L,A03B2
ZAAB3316934,20,L,A03B3
ABGD1064144,20,L,A03B4
MSZM9188266,20,L,A03B5
NMYE4246607,20,L,A03B6
RZCR9147234,20,L,A03B7
XOTB3930004,20,L,A03B8
ECDY1368514,20,L,A03B9
VKXF5614472,20,L,A03C1
WOQO3822676,20,L,A03C2
BXXZ1698208,20,L,A03C3
YURI4058732,20,L,A03C4
YNQC2317610,20,L,A03C5
CEIC5708545,20,L,A03C6
HXTP2142161,20,L,A03C7
CTNQ4312779,20,L,A03C8
RXEP9995718,20,L,A03C9
SLFD7617281,20,L,A03D1
VOYD3192183,20,L,A03D2
EIUA1136357,20,L,A03D3
TKTC6513976,20,L,A03D4
WRLN8096394,20,L,A03D5
ZJDD3636961,20,L,A03D6
HAES5759610,20,L,A03D7
NBRH6555739,20,L,A03D8
PUYF9891044,20,L,A03D9
GADE5138335,20,L,A03E1
EPMZ8658623,20,L,A03E2
SADY8258360,20,L,A03E3
BZGP0856139,20,L,A03E4
POJC8190700,20,L,A03E5
ROKI6262402,20,L,A03E6
KCQJ1856830,20,L,A03E7
ZBMS0075087,20,L,A03E8
NBHG7347329,20,L,A03E9
LUNF8635921,20,L,A03F1
OXBD2375282,20,L,A03F2
NIUT0814574,20,L,A03F3
BEYJ7385942,20,L,A03F4
HNQE5123739,20,L,A03F5
FFTF2360084,20,L,A03F6
ZVJR8789477,20,L,A03F7
KLQQ2998507,20,L,A03F8
NRZP7107837,20,E,A03F9
UTTM4501405,20,E,A04A1
ALFP7017888,20,E,A04A2
HPQM9362689,20,E,A04A3
FRYI6302114,20,E,A04A4
PLMR7472611,20,E,A04A5
RFXY9930361,20,E,A04A6
OMDF8577802,20,L,A04A7
AIBT5498132,20,L,A04A8
EUXV6076453,20,E,A04A9
ECNA2299709,20,E,A04B1
OYZL9805337,20,E,A04B2
AYOV6442794,20,E,A04B3
YFMT1627135,20,E,A04B4
MJBX6140275,20,E,A04B5
FHXH6796818,20,L,A04B6
YTNR7687271,20,L,A04B7
GQDM6170504,20,L,A04B8
KZXI4887811,20,L,A04B9
QQMZ1257593,20,L,A04C1
WJVM8617432,20,L,A04C2
WFNV7236313,20,L,A04C3
HSRD4189879,20,E,A04C4
CDUM7386958,20,L,A04C5
RFDE8754150,20,L,A04C6
VIHF2460552,20,L,A04C7
IVIP5581378,20,L,A04C8
XEFF1829672,20,L,A04C9
BFIU2996554,20,L,A04D1
RDCW7179253,20,L,A04D2
NUDE0749531,20,L,A04D3
BUDE0578181,40,L,A04D4
WYJK6436245,40,E,A04D5
ENVM9006489,40,E,A04D6
TAOD7578130,40,E,A04D7
RQQE1536180,40,L,A04D8
OIEW7141568,40,L,A04D9
KJXE8206734,40,L,A04E1
OJWD1518778,40,L,A04E2
JQBF1615361,40,L,A04E3
XOPQ0457158,40,L,A04E4
OOJT7350175,40,E,A04E5
MFMP2395010,40,L,A04E6
SPPD2689622,40,L,A04E7
WBNW7185601,40,L,A04E8
IVEO1102187,40,L,A04E9
NCOR9929482,40,L,A04F1
IXDV3010411,40,E,A04F2
EQXG3186042,40,L,A04F3
TTXW7378769,40,L,A04F4
AUPZ4757701,40,L,A04F5
BHRD1635034,40,L,A04F6
WUNO5675323,40,L,A04F7
SBQH5788609,40,L,A04F8
GTWP2536127,40,L,A04F9
YVCH7477380,40,E,A05A1
RRRF4596747,40,L,A05A2
SMGT1190149,40,L,A05A3
JURS2429201,40,L,A05A4
PZZM2712569,40,L,A05A5
ZNUK2741699,40,L,A05A6
WKYD6828129,40,L,A05A7
TXDW6810537,40,L,A05A8
IEUD3055749,40,L,A05A9
LRKJ3583844,40,L,A05B1
JTXH0341647,40,L,A05B2
PIMQ5218385,40,L,A05B3
RXZF4012933,40,L,A05B4
WRYG5096666,40,L,A05B5
LUYP7044610,40,L,A05B6
AFEW2216902,40,L,A05B7
MBCS9480544,40,L,A05B8
IHQL4185706,40,L,A05B9
DXIE8371237,40,L,A05C1
WLWK4951538,40,L,A05C2
RHDB6570953,40,L,A05C3
HENZ3650334,40,L,A05C4
IPTX8597968,40,L,A05C5
ZUBM8657142,40,L,A05C6
DDTL6981018,40,L,A05C7
AIWS4680807,40,L,A05C8
KWQM1679380,40,L,A05C9
MSQF3564004,40,L,A05D1
GHVU4237617,40,L,A05D2
MOAX6388299,40,L,A05D3
YBVO7008103,40,L,A05D4
YPCU3215096,40,L,A05D5
FPIP3842584,40,E,A05D6
XEQW7526535,40,L,A05D7
DPZZ4825602,40,L,A05D8
HLVS1081558,40,L,A05D9
SGDX1756390,40,L,A05E1
KVJU8393686,40,L,A05E2
ZQLP4546251,40,L,A05E3
DAXS9728927,40,L,A05E4
RTFA9209884,40,L,A05E5
GCJE6800539,40,L,A05E6
YHUQ8711739,40,L,A05E7
LULF2322230,40,L,A05E8
SEMY4658823,40,L,A05E9
VYXU5497814,40,L,A05F1
OIYA6209301,40,L,A05F2
GOWD8178510,40,L,A05F3
XQDX5735952,40,L,A05F4
YPYK0127685,40,L,A05F5
SVBK7465245,40,L,A05F6
TAHK6818165,40,L,A05F7
FXUY1196650,40,L,A05F8
DALL8422727,40,L,A05F9
FMKB9201691,40,L,A06A1
JDGR3730259,40,L,A06A2
WJRA1547816,40,L,A06A3
BQRK3926590,40,L,A06A4
JGPA0674643,40,L,A06A5
RXHE4256041,40,L,A06A6
PKLH3343241,40,L,A06A7
ZTLW2902064,40,L,A06A8
CNZR2357410,40,L,A06A9
UECJ5902163,40,L,A06B1
VSRZ6796606,40,L,A06B2
GNLL5631265,40,E,A06B3
LMVV5233144,40,E,A06B4
